Station Name,Measurement Timestamp,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,Measurement Timestamp Label,Measurement ID
Oak Street Weather Station,05/22/2015 03:00:00 PM,,7.0,55,0.0,0.00,1.4,0,63,1.9,2.8,,780,322,12.0,05/22/2015 3:00 PM,OakStreetWeatherStation201505221500
Oak Street Weather Station,05/22/2015 05:00:00 PM,,6.3,56,0.0,0.00,1.4,0,124,1.5,2.3,,180,322,12.1,05/22/2015 5:00 PM,OakStreetWeatherStation201505221700
Oak Street Weather Station,05/22/2015 06:00:00 PM,,6.5,54,0.0,0.00,1.4,0,156,1.9,3.4,,127,322,12.1,05/22/2015 6:00 PM,OakStreetWeatherStation201505221800
Oak Street Weather Station,05/22/2015 07:00:00 PM,,6.3,53,0.0,0.00,1.4,0,150,1.4,4.5,,67,322,12.1,05/22/2015 7:00 PM,OakStreetWeatherStation201505221900
Oak Street Weather Station,05/22/2015 08:00:00 PM,,6.4,52,0.0,0.00,1.4,0,155,1.1,2.3,,10,322,12.0,05/22/2015 8:00 PM,OakStreetWeatherStation201505222000
Oak Street Weather Station,05/22/2015 09:00:00 PM,,7.4,58,0.0,0.00,1.4,0,175,1.3,2.5,,2,322,12.0,05/22/2015 9:00 PM,OakStreetWeatherStation201505222100
Oak Street Weather Station,05/22/2015 10:00:00 PM,,7.5,58,0.0,0.00,1.4,0,164,1.7,3.5,,3,322,12.0,05/22/2015 10:00 PM,OakStreetWeatherStation201505222200
Oak Street Weather Station,05/22/2015 11:00:00 PM,,7.1,45,0.0,0.00,1.4,0,155,0.7,2.3,,2,322,12.1,05/22/2015 11:00 PM,OakStreetWeatherStation201505222300
Oak Street Weather Station,05/23/2015 08:00:00 AM,,9.0,32,0.0,0.00,1.4,0,159,2.0,3.5,,434,322,12.1,05/23/2015 8:00 AM,OakStreetWeatherStation201505230800
Oak Street Weather Station,05/23/2015 10:00:00 AM,,10.9,42,0.0,0.00,1.4,0,155,2.3,3.9,,799,322,12.1,05/23/2015 10:00 AM,OakStreetWeatherStation201505231000
Oak Street Weather Station,05/23/2015 11:00:00 AM,,11.6,62,0.0,0.00,1.4,0,85,2.0,2.8,,850,322,12.1,05/23/2015 11:00 AM,OakStreetWeatherStation201505231100
Oak Street Weather Station,05/23/2015 12:00:00 PM,,11.2,55,0.0,0.00,1.4,0,109,2.5,3.8,,900,322,12.1,05/23/2015 12:00 PM,OakStreetWeatherStation201505231200
Oak Street Weather Station,05/23/2015 05:00:00 PM,,12.4,43,0.0,0.00,1.4,0,147,2.0,3.0,,53,322,12.1,05/23/2015 5:00 PM,OakStreetWeatherStation201505231700
Oak Street Weather Station,05/23/2015 01:00:00 PM,,11.7,50,0.0,0.00,1.4,0,137,2.2,3.3,,887,322,12.0,05/23/2015 1:00 PM,OakStreetWeatherStation201505231300
Oak Street Weather Station,05/23/2015 04:00:00 PM,,12.5,45,0.0,0.00,1.4,0,136,2.0,3.5,,563,322,12.1,05/23/2015 4:00 PM,OakStreetWeatherStation201505231600
Oak Street Weather Station,05/23/2015 06:00:00 PM,,12.4,40,0.0,0.00,1.4,0,150,1.1,3.0,,44,322,12.1,05/23/2015 6:00 PM,OakStreetWeatherStation201505231800
Oak Street Weather Station,05/24/2015 12:00:00 AM,,13.4,33,0.0,0.00,1.4,0,7,1.0,1.4,,0,322,12.1,05/24/2015 12:00 AM,OakStreetWeatherStation201505242400
Oak Street Weather Station,05/24/2015 07:00:00 AM,,13.7,55,0.0,0.10,1.5,60,193,0.4,0.8,,43,322,12.1,05/24/2015 7:00 AM,OakStreetWeatherStation201505240700
Oak Street Weather Station,05/24/2015 08:00:00 AM,,14.0,68,0.0,1.00,2.5,0,119,0.7,1.1,,59,322,12.1,05/24/2015 8:00 AM,OakStreetWeatherStation201505240800
Oak Street Weather Station,05/24/2015 09:00:00 AM,,14.0,76,0.0,0.10,2.5,0,345,0.6,1.3,,120,322,12.0,05/24/2015 9:00 AM,OakStreetWeatherStation201505240900
Oak Street Weather Station,05/24/2015 12:00:00 PM,,13.4,63,0.0,0.00,2.6,0,145,2.3,3.5,,358,322,12.1,05/24/2015 12:00 PM,OakStreetWeatherStation201505241200
Oak Street Weather Station,05/24/2015 03:00:00 PM,,12.6,70,0.0,0.00,2.6,0,137,1.1,3.0,,266,322,12.1,05/24/2015 3:00 PM,OakStreetWeatherStation201505241500
Oak Street Weather Station,05/24/2015 04:00:00 PM,,14.3,73,1.2,0.40,3.0,60,147,1.0,3.8,,40,322,12.0,05/24/2015 4:00 PM,OakStreetWeatherStation201505241600
Oak Street Weather Station,05/24/2015 09:00:00 PM,,15.7,82,0.0,0.00,11.1,0,148,2.4,4.3,,1,322,12.1,05/24/2015 9:00 PM,OakStreetWeatherStation201505242100
Oak Street Weather Station,05/24/2015 10:00:00 PM,,15.3,84,0.0,0.00,11.1,0,0,1.0,1.9,,2,322,12.2,05/24/2015 10:00 PM,OakStreetWeatherStation201505242200
Oak Street Weather Station,05/25/2015 09:00:00 AM,,19.6,69,0.0,0.00,11.1,0,296,2.1,5.7,,251,322,12.1,05/25/2015 9:00 AM,OakStreetWeatherStation201505250900
Oak Street Weather Station,05/25/2015 10:00:00 AM,,19.7,72,0.0,0.00,11.1,0,9,1.2,3.1,,126,322,12.1,05/25/2015 10:00 AM,OakStreetWeatherStation201505251000
Oak Street Weather Station,05/23/2015 08:00:00 PM,,11.8,41,0.0,0.00,1.4,0,142,1.3,3.1,,6,322,12.1,05/23/2015 8:00 PM,OakStreetWeatherStation201505232000
Oak Street Weather Station,05/23/2015 09:00:00 PM,,12.1,38,0.0,0.00,1.4,0,134,1.5,2.5,,0,322,12.1,05/23/2015 9:00 PM,OakStreetWeatherStation201505232100
Oak Street Weather Station,05/23/2015 10:00:00 PM,,12.8,44,0.0,0.00,1.4,0,169,1.5,2.2,,0,322,12.1,05/23/2015 10:00 PM,OakStreetWeatherStation201505232200
Oak Street Weather Station,05/23/2015 11:00:00 PM,,13.3,41,0.0,0.00,1.4,0,118,0.8,1.2,,0,322,12.1,05/23/2015 11:00 PM,OakStreetWeatherStation201505232300
Oak Street Weather Station,05/24/2015 01:00:00 PM,,13.6,65,0.0,0.00,2.6,0,159,1.7,3.1,,226,322,12.1,05/24/2015 1:00 PM,OakStreetWeatherStation201505241300
Oak Street Weather Station,05/25/2015 05:00:00 PM,,19.2,55,0.0,0.00,12.1,0,81,1.1,1.9,,163,322,12.1,05/25/2015 5:00 PM,OakStreetWeatherStation201505251700
Oak Street Weather Station,05/24/2015 03:00:00 AM,,13.5,39,0.0,0.00,1.4,0,0,0.0,0.8,,0,322,12.0,05/24/2015 3:00 AM,OakStreetWeatherStation201505240300
Oak Street Weather Station,05/24/2015 06:00:00 AM,,12.8,64,0.0,0.00,1.4,0,350,0.5,1.0,,16,322,12.1,05/24/2015 6:00 AM,OakStreetWeatherStation201505240600
Oak Street Weather Station,05/24/2015 04:00:00 AM,,13.4,40,0.0,0.00,1.4,0,145,0.5,0.7,,0,322,12.1,05/24/2015 4:00 AM,OakStreetWeatherStation201505240400
Oak Street Weather Station,05/24/2015 05:00:00 PM,,13.4,82,7.2,5.80,8.9,60,47,1.0,1.4,,47,322,12.1,05/24/2015 5:00 PM,OakStreetWeatherStation201505241700
Oak Street Weather Station,05/24/2015 05:00:00 AM,,13.3,53,0.0,0.00,1.4,0,28,0.9,1.3,,0,322,12.1,05/24/2015 5:00 AM,OakStreetWeatherStation201505240500
Oak Street Weather Station,05/24/2015 10:00:00 AM,,13.7,56,0.0,0.10,2.6,0,142,2.5,3.8,,251,322,12.0,05/24/2015 10:00 AM,OakStreetWeatherStation201505241000
Oak Street Weather Station,05/24/2015 11:00:00 AM,,13.5,59,0.0,0.00,2.6,0,147,2.1,3.1,,439,322,12.1,05/24/2015 11:00 AM,OakStreetWeatherStation201505241100
Oak Street Weather Station,05/24/2015 06:00:00 PM,,13.1,88,0.0,1.70,10.6,0,67,0.8,1.1,,38,322,12.0,05/24/2015 6:00 PM,OakStreetWeatherStation201505241800
Oak Street Weather Station,05/24/2015 07:00:00 PM,,14.2,86,0.0,0.10,10.7,0,105,0.5,1.0,,17,322,12.0,05/24/2015 7:00 PM,OakStreetWeatherStation201505241900
Oak Street Weather Station,05/24/2015 08:00:00 PM,,16.4,87,0.0,0.30,11.1,0,164,2.1,3.4,,4,322,12.1,05/24/2015 8:00 PM,OakStreetWeatherStation201505242000
Oak Street Weather Station,05/25/2015 06:00:00 AM,,18.6,72,0.0,0.00,11.1,0,12,0.7,2.0,,9,322,12.1,05/25/2015 6:00 AM,OakStreetWeatherStation201505250600
Oak Street Weather Station,05/25/2015 07:00:00 AM,,19.4,78,0.0,0.00,11.1,0,305,1.5,1.9,,26,322,12.0,05/25/2015 7:00 AM,OakStreetWeatherStation201505250700
Oak Street Weather Station,05/25/2015 08:00:00 AM,,19.5,74,0.0,0.00,11.1,0,317,1.6,5.5,,142,322,12.1,05/25/2015 8:00 AM,OakStreetWeatherStation201505250800
Oak Street Weather Station,05/25/2015 11:00:00 AM,,18.3,85,0.0,0.20,11.2,60,342,2.1,5.4,,336,322,12.1,05/25/2015 11:00 AM,OakStreetWeatherStation201505251100
Oak Street Weather Station,05/25/2015 12:00:00 PM,,19.0,74,0.0,0.00,11.2,0,81,2.0,3.4,,138,322,12.1,05/25/2015 12:00 PM,OakStreetWeatherStation201505251200
Oak Street Weather Station,05/25/2015 01:00:00 PM,,19.9,78,0.0,0.80,12.1,0,289,2.7,4.4,,990,322,12.1,05/25/2015 1:00 PM,OakStreetWeatherStation201505251300
Oak Street Weather Station,05/25/2015 03:00:00 PM,,19.2,58,0.0,0.00,12.1,0,96,1.3,3.3,,673,322,12.1,05/25/2015 3:00 PM,OakStreetWeatherStation201505251500
Oak Street Weather Station,05/25/2015 02:00:00 PM,,19.3,65,0.0,0.00,12.1,0,301,3.4,9.4,,506,322,12.0,05/25/2015 2:00 PM,OakStreetWeatherStation201505251400
Oak Street Weather Station,05/25/2015 04:00:00 PM,,19.1,54,0.0,0.00,12.1,0,280,2.1,8.5,,229,322,12.1,05/25/2015 4:00 PM,OakStreetWeatherStation201505251600
Oak Street Weather Station,05/25/2015 06:00:00 PM,,19.0,50,0.0,0.00,12.1,0,342,1.6,4.1,,55,322,12.1,05/25/2015 6:00 PM,OakStreetWeatherStation201505251800
Oak Street Weather Station,05/25/2015 07:00:00 PM,,18.8,49,0.0,0.00,12.1,0,247,0.9,4.6,,39,322,12.2,05/25/2015 7:00 PM,OakStreetWeatherStation201505251900
Oak Street Weather Station,05/26/2015 03:00:00 AM,,19.4,80,0.0,0.00,12.1,0,298,1.9,5.2,,0,322,12.0,05/26/2015 3:00 AM,OakStreetWeatherStation201505260300
Oak Street Weather Station,05/26/2015 04:00:00 AM,,19.1,82,0.0,0.00,12.1,0,348,1.7,3.1,,0,322,12.1,05/26/2015 4:00 AM,OakStreetWeatherStation201505260400
Oak Street Weather Station,05/26/2015 05:00:00 AM,,19.1,84,0.0,0.00,12.1,0,166,0.8,1.5,,0,322,12.1,05/26/2015 5:00 AM,OakStreetWeatherStation201505260500
Oak Street Weather Station,05/26/2015 06:00:00 AM,,19.0,83,0.0,0.00,12.1,0,45,1.0,3.4,,17,322,12.1,05/26/2015 6:00 AM,OakStreetWeatherStation201505260600
Oak Street Weather Station,05/26/2015 10:00:00 AM,,16.8,85,0.0,0.00,0.0,0,120,2.1,4.0,,154,0,12.1,05/26/2015 10:00 AM,OakStreetWeatherStation201505261000
Oak Street Weather Station,05/26/2015 11:00:00 AM,,17.4,84,0.0,0.00,0.0,0,110,1.9,4.0,988.9,106,0,12.2,05/26/2015 11:00 AM,OakStreetWeatherStation201505261100
Oak Street Weather Station,05/26/2015 12:00:00 PM,,19.2,79,0.0,0.00,0.0,0,110,2.5,5.4,987.7,234,0,12.1,05/26/2015 12:00 PM,OakStreetWeatherStation201505261200
Oak Street Weather Station,05/26/2015 02:00:00 PM,20.80,19.1,86,0.0,4.10,4.5,60,261,2.6,6.9,986.9,360,0,12.0,05/26/2015 2:00 PM,OakStreetWeatherStation201505261400
Oak Street Weather Station,05/26/2015 03:00:00 PM,21.70,18.9,76,0.0,0.00,4.5,0,1,0.7,2.3,986.7,481,0,12.1,05/26/2015 3:00 PM,OakStreetWeatherStation201505261500
Foster Weather Station,05/26/2015 03:00:00 PM,22.78,,63,,0.00,,,207,7.1,7.6,986.1,569,,15.1,05/26/2015 3:00 PM,FosterWeatherStation201505261500
Oak Street Weather Station,05/26/2015 04:00:00 PM,24.00,19.5,66,0.0,0.00,4.5,0,272,1.6,4.2,986.0,658,0,12.1,05/26/2015 4:00 PM,OakStreetWeatherStation201505261600
Foster Weather Station,05/26/2015 04:00:00 PM,23.28,,65,,0.00,,,233,4.1,5.1,985.4,229,,15.1,05/26/2015 4:00 PM,FosterWeatherStation201505261600
Foster Weather Station,05/26/2015 05:00:00 PM,23.78,,65,,0.00,,,218,6.9,8.0,985.4,137,,15.1,05/26/2015 5:00 PM,FosterWeatherStation201505261700
Foster Weather Station,05/26/2015 06:00:00 PM,21.89,,71,,2.24,,,223,6.9,7.7,985.8,293,,15.1,05/26/2015 6:00 PM,FosterWeatherStation201505261800
Foster Weather Station,05/26/2015 07:00:00 PM,22.28,,66,,0.00,,,208,4.9,5.3,986.1,32,,15.1,05/26/2015 7:00 PM,FosterWeatherStation201505261900
Oak Street Weather Station,05/26/2015 05:00:00 PM,24.20,20.3,70,0.0,0.30,4.8,60,331,0.6,2.3,985.8,139,0,12.1,05/26/2015 5:00 PM,OakStreetWeatherStation201505261700
Oak Street Weather Station,05/26/2015 08:00:00 PM,21.50,18.2,73,0.0,0.20,5.4,0,0,1.7,6.0,987.2,13,0,12.0,05/26/2015 8:00 PM,OakStreetWeatherStation201505262000
Foster Weather Station,05/26/2015 08:00:00 PM,21.50,,67,,0.00,,,234,2.5,3.5,986.8,12,,15.1,05/26/2015 8:00 PM,FosterWeatherStation201505262000
Foster Weather Station,05/26/2015 09:00:00 PM,21.00,,70,,0.00,,,231,4.2,4.5,987.5,0,,15.1,05/26/2015 9:00 PM,FosterWeatherStation201505262100
Foster Weather Station,05/26/2015 10:00:00 PM,20.67,,70,,0.00,,,189,1.9,2.2,988.1,1,,15.1,05/26/2015 10:00 PM,FosterWeatherStation201505262200
Oak Street Weather Station,05/26/2015 09:00:00 PM,21.70,17.9,70,0.0,0.00,5.4,0,0,0.8,3.7,987.8,0,0,12.1,05/26/2015 9:00 PM,OakStreetWeatherStation201505262100
Oak Street Weather Station,05/26/2015 11:00:00 PM,21.80,17.9,69,0.0,0.00,5.4,0,271,0.9,2.7,988.9,0,0,12.1,05/26/2015 11:00 PM,OakStreetWeatherStation201505262300
Foster Weather Station,05/26/2015 11:00:00 PM,20.56,,70,,0.00,,,178,2.5,2.8,988.5,0,,15.1,05/26/2015 11:00 PM,FosterWeatherStation201505262300
Oak Street Weather Station,05/27/2015 12:00:00 AM,21.80,18.4,73,0.0,0.00,5.4,0,280,2.0,5.4,988.5,0,0,12.2,05/27/2015 12:00 AM,OakStreetWeatherStation201505272400
Foster Weather Station,05/27/2015 12:00:00 AM,20.78,,73,,0.00,,,204,4.6,4.9,988.1,0,,15.1,05/27/2015 12:00 AM,FosterWeatherStation201505272400
Oak Street Weather Station,05/27/2015 01:00:00 AM,21.70,18.1,71,0.0,0.00,5.4,0,301,0.8,2.6,988.0,0,0,12.1,05/27/2015 1:00 AM,OakStreetWeatherStation201505270100
Foster Weather Station,05/27/2015 01:00:00 AM,21.00,,71,,0.00,,,238,3.5,4.4,987.8,1,,15.1,05/27/2015 1:00 AM,FosterWeatherStation201505270100
Oak Street Weather Station,05/27/2015 02:00:00 AM,20.80,17.9,76,0.0,0.00,5.4,0,329,1.5,2.9,987.9,0,0,12.1,05/27/2015 2:00 AM,OakStreetWeatherStation201505270200
Foster Weather Station,05/27/2015 02:00:00 AM,20.50,,73,,0.00,,,223,3.7,3.9,987.5,0,,15.1,05/27/2015 2:00 AM,FosterWeatherStation201505270200
Oak Street Weather Station,05/27/2015 03:00:00 AM,20.30,17.7,78,0.0,0.00,5.4,0,279,2.6,6.5,988.4,0,0,12.1,05/27/2015 3:00 AM,OakStreetWeatherStation201505270300
Foster Weather Station,05/27/2015 03:00:00 AM,19.67,,76,,0.00,,,220,3.9,4.7,988.1,1,,15.1,05/27/2015 3:00 AM,FosterWeatherStation201505270300
Oak Street Weather Station,05/27/2015 09:00:00 AM,21.60,17.6,67,0.0,0.00,5.4,0,269,2.3,4.7,991.5,783,0,12.1,05/27/2015 9:00 AM,OakStreetWeatherStation201505270900
Foster Weather Station,05/27/2015 09:00:00 AM,20.78,,64,,0.00,,,221,4.8,5.6,991.2,584,,15.1,05/27/2015 9:00 AM,FosterWeatherStation201505270900
Foster Weather Station,05/27/2015 10:00:00 AM,21.50,,58,,0.03,,,263,3.1,4.0,991.2,723,,15.1,05/27/2015 10:00 AM,FosterWeatherStation201505271000
Foster Weather Station,05/27/2015 11:00:00 AM,21.78,,57,,0.00,,,237,2.1,3.3,991.9,297,,15.1,05/27/2015 11:00 AM,FosterWeatherStation201505271100
Oak Street Weather Station,05/27/2015 10:00:00 AM,22.50,17.6,62,0.0,0.00,5.4,0,290,1.3,3.9,991.6,191,0,12.1,05/27/2015 10:00 AM,OakStreetWeatherStation201505271000
Oak Street Weather Station,05/27/2015 12:00:00 PM,22.80,17.1,57,0.0,0.00,5.4,0,251,1.6,5.4,992.5,328,0,12.1,05/27/2015 12:00 PM,OakStreetWeatherStation201505271200
Foster Weather Station,05/27/2015 12:00:00 PM,21.89,,58,,0.00,,,283,2.9,3.5,992.2,82,,15.1,05/27/2015 12:00 PM,FosterWeatherStation201505271200
Oak Street Weather Station,05/27/2015 01:00:00 PM,21.90,17.9,68,0.0,0.20,5.6,0,248,1.3,2.4,992.8,361,0,12.1,05/27/2015 1:00 PM,OakStreetWeatherStation201505271300
Foster Weather Station,05/27/2015 01:00:00 PM,21.06,,62,,0.03,,,290,3.4,3.7,992.6,250,,15.1,05/27/2015 1:00 PM,FosterWeatherStation201505271300
Oak Street Weather Station,05/27/2015 03:00:00 PM,23.50,17.0,52,0.0,0.00,5.6,0,303,0.9,5.1,993.7,160,0,12.1,05/27/2015 3:00 PM,OakStreetWeatherStation201505271500
Foster Weather Station,05/27/2015 04:00:00 PM,20.78,,58,,0.00,,,278,4.9,5.5,993.9,239,,15.1,05/27/2015 4:00 PM,FosterWeatherStation201505271600
Oak Street Weather Station,05/27/2015 05:00:00 PM,22.70,16.8,56,0.0,0.00,5.6,0,347,1.4,3.7,994.6,269,0,12.1,05/27/2015 5:00 PM,OakStreetWeatherStation201505271700
Foster Weather Station,05/27/2015 05:00:00 PM,22.00,,58,,0.00,,,269,3.3,4.7,994.2,568,,15.1,05/27/2015 5:00 PM,FosterWeatherStation201505271700
Oak Street Weather Station,05/27/2015 06:00:00 PM,19.10,15.8,72,0.0,0.00,5.6,0,18,2.6,3.8,995.1,31,0,12.1,05/27/2015 6:00 PM,OakStreetWeatherStation201505271800